tramstop	totalArriving	totalLeaving	totalArrMorning	totalLeaveMorning	totalArrEve	totalLeaveEve										tramstop	totalArriving	totalLeaving	totalArrMorning	totalLeaveMorning	totalArrEve	totalLeaveEve	maxQueueLength	time	maxWaitingTime	time	averageWaitTime	maxTramDelay	averageTramDelay/total	averageTramDelay/delayed	fractionOfRunsDelayed	passengersNotArrived
17	0,080997234	1,1118E-135	0,797393142	1	0,688896962	2,7425E-175										0	12	189	1	133	5	11	2	224,0740023	11,55343465	224,0740023	7,283384725	513,6666667	2,210005066	7,569267351	0,291970803	0
18	0,900421006	2,48999E-90	0,656405178	1	0,994010179	0										0	12	189	1	133	5	11	2	224,0740023	11,55343465	224,0740023	7,283384725	513,6666667	2,210005066	7,569267351	0,291970803	0
19	1	1,2623E-110	1	2,86077E-09	1	1										0	12	189	1	133	5	11	2	224,0740023	11,55343465	224,0740023	7,283384725	513,6666667	2,210005066	7,569267351	0,291970803	0
																0	18	153	0	99	12	11	2	603,2666667	2,833212927	603,2666667	7,688807647	898,2853269	1,344256339	6,820856236	0,197080292	0
																0	18	153	0	99	12	11	2	603,2666667	2,833212927	603,2666667	7,688807647	898,2853269	1,344256339	6,820856236	0,197080292	0
																0	18	153	0	99	12	11	2	603,2666667	2,833212927	603,2666667	7,688807647	898,2853269	1,344256339	6,820856236	0,197080292	0
tramstop	totalArriving	totalLeaving	totalArrMorning	totalLeaveMorning	totalArrEve	totalLeaveEve										0	11	187	0	111	6	17	1	271,6330299	8,265712257	584,2666667	5,156274521	764,3991358	1,695856247	7,260384555	0,233576642	0
0	15,41 (+-3,7)	172,78 (+-16,2)	0,83 (+-0,9)	114 (+-15,3)	7,97 (+-2,5)	14,88 (+-4,4)										0	11	187	0	111	6	17	1	271,6330299	8,265712257	584,2666667	5,156274521	764,3991358	1,695856247	7,260384555	0,233576642	0
3	1000,99 (+-33,3)	0 (+-0)	307,48 (+-23,1)	0 (+-0)	272,73 (+-17,8)	0 (+-0)										0	11	187	0	111	6	17	1	271,6330299	8,265712257	584,2666667	5,156274521	764,3991358	1,695856247	7,260384555	0,233576642	0
4	2612,82 (+-49)	0 (+-0)	109,3 (+-11,2)	0 (+-0)	1212,88 (+-50,5)	0 (+-0)										0	17	170	0	116	10	9	3	629,3303425	12,97904366	274,9328686	9,153612374	905,6666667	1,914563101	7,494146996	0,255474453	0
