;Arriving;;;;;;;Leaving;;;;;;;P;;;;;;
Timeslot;CS Centrumzijde;Bleekstraat;Stadion Galgenwaard;De Kromme Rijn;Padualaan;Heidelberglaan;AZU;CS Centrumzijde;Bleekstraat;Stadion Galgenwaard;De Kromme Rijn;Padualaan;Heidelberglaan;AZU;CS Centrumzijde;Bleekstraat;Stadion Galgenwaard;De Kromme Rijn;Padualaan;Heidelberglaan;AZU
46;60,16716044;14,007;0,962212551;0,050850383;0,286242377;0,255622544;0;0;27,57464605;29,09344864;4,353064109;15,07686111;28,55696978;22,41873755;0;0,3373305;0,188547088;0,074695702;0,250740773;0,606861007;1
47;82,8850701;7,860825;0,732210611;0,03051023;0,06984314;0;0;0;32,66972212;7,313012726;4,545426185;9,926095843;17,85572714;7,635001365;0;0,370859669;0,141841554;0,101244025;0,227880257;0,634872964;1
48;35,07387569;8,636225365;0,794972375;0,032916544;0,028624238;0,171137127;0;0;14,01661607;6,593415447;3,294674245;9,13949084;23,09777956;10,36904617;0;0,388110555;0,141109139;0,083931414;0,226196374;0,707011531;1
49;42,50331735;8,019352125;1,337635304;0,35;0,001746217;0,00350115;0;0;19,43953744;18,36273632;3,058891268;4,173305424;11,85449359;2,922121233;0;0,430151542;0,18355598;0,121171416;0,211233057;0,76147976;1
50;52,6972024;10,54396298;0,700666112;0,0375;0;0,006502136;0;0;20,7565405;5,016349839;3,766246497;7,051361089;13,99310406;2,000738802;0;0,456989217;0,147626258;0,129160548;0,268505801;0,798522566;1
51;40,60276251;5,49474127;0,509575354;0,05625;0;0;0;0;22,84349314;9,009444621;4,515890157;3,840313242;18,21420399;5,336375922;0;0,502530624;0,225132624;0,151329186;0,145270412;0,791484104;1
52;58,13970035;6,831299958;0,414029975;0;0,001496758;0;0;0;32,78810366;9,820437928;1,918461445;2,6166747;10,96831726;1,386407031;0;0,52582639;0,268094576;0,117402631;0,159997654;0,804184704;1
53;37,23359711;3,5641565;0,318484596;0,05625;0;0;0;0;19,50314873;10,63143123;2,768782528;2,348796609;14,51737808;2,291242795;0;0,542447613;0,311056527;0,12541853;0,142971611;0,843481915;1
54;29,19943346;3,415649979;0,382181515;0,01875;0;0,013004272;0;0;18,0223727;5,741314732;2,210808457;1,850971375;10,57459398;1,330852114;0;0,602661348;0,274750759;0,107211134;0,130985363;0,904029631;1
55;23,76557439;2,650841397;0,445878435;0;0;0;0;0;13,62480224;3,19847454;1,783404044;1,543771248;6,864901872;1,648037467;0;0,562855235;0,17526301;0,123412698;0,148904006;0,798015873;1
56;27,03971205;3,712663021;0,668817652;0,0196875;0;0;0;0;16,62346189;2,920441549;1,941885911;1,31590323;6,842350069;0,459537947;0;0,590765311;0,218806435;0,203665924;0,224642857;0,819444444;1
57;16,32749386;3,118636937;1,019150708;0,01875;0;0;0;0;10,41012984;3,745968841;1,245839521;0,899966803;8,736584909;0,538453817;0;0,537205538;0,258780417;0,104535147;0,109221466;0,953174603;1
58;19,78304811;4,603702146;0,318484596;0;0;0;0;0;12,89425485;1,292057461;1,918368621;0,29149961;5,566315054;0,286244807;0;0,627484231;0,115744953;0,205272109;0,035714286;0,875283447;1
59;16,241105;2,376104333;0,700666112;0;0;0;0;0;9,012932348;2,181746358;1,763277052;0,944165423;6,854063474;0,449909209;0;0,547053119;0,196852133;0,190665155;0,134126984;0,839569161;1
60;19,19992333;3,378523349;0,509575354;0,0375;0;0;0;0;14,65710588;1,780893458;1,226573197;0,668911555;6,379711323;0,095262808;0;0,754725669;0,194293739;0,137037037;0,101587302;0,841269841;1
61;0;0;0;0;0,002619326;0;0;0;0;2,972914394;0,658684499;0,310985375;4,1474401;0,16834459;0;0;0,389168947;0,066725661;0,069444444;0,821428571;1
62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
