;;;CS Centrumzijde;Bleekstraat;Stadion Galgenwaard;De Kromme Rijn;Padualaan;Heidelberglaan;AZU;CS Centrumzijde;Bleekstraat;Stadion Galgenwaard;De Kromme Rijn;Padualaan;Heidelberglaan;AZU;;;;
R1061;3-9-2015;09:05;395,4881846;12,47454775;10,70108243;0;0;0;0;0;129,2396993;25,48388438;7,281109822;116,4977572;118,3180346;21,84332947;;;;
R1061;4-9-2015;09:05;346,505703;199,592764;0;0;0;0;0;0;68,5300037;23,55718877;32,12343923;130,6353196;102,7950056;188,4575102;;;;
R1061;7-9-2015;09:05;65,30997543;9,355910812;2,675270608;0,39375;0;0;0;0;18,50831116;3,701662231;0;27,76246673;18,50831116;9,254155578;;;;
R1061;8-9-2015;09:05;168,7174365;3,118636937;2,675270608;0;0;0;0;0;54,53479503;12,72478551;3,635653002;49,08131552;49,08131552;5,453479503;;;;
R1061;9-9-2015;09:05;0;0;2,675270608;0;0;0;0;0;0;0;0;1,337635304;1,337635304;0;;;;
R1061;10-9-2015;09:05;112,478291;0;0;0;0;0;0;0;23,5841578;19,95582583;1,814165984;27,21248976;34,4691537;5,442497953;;;;
R1061;11-9-2015;09:05;45,35414961;3,118636937;0;0;0;0;0;0;7,457351776;0;1,864337944;13,05036561;16,7790415;9,32168972;;;;
R1061;14-9-2015;09:05;230,39908;21,83045856;1,337635304;0;0;0;0;0;80,76584057;9,39137681;3,756550724;73,25273912;54,4699855;31,93068115;;;;
R1061;15-9-2015;09:05;0;6,237273875;0;0,39375;0,031431908;0;0;0;0;0;0;0;6,662455782;0;;;;
R1061;16-9-2015;09:05;284,8240595;9,355910812;5,350541216;0,7875;0;0;0;0;59,70177338;18,09144648;5,427433944;95,88466634;85,02979845;36,18289296;;;;
R1061;17-9-2015;09:05;0;6,237273875;0;0;0;0;0;0;0;0;0;3,118636937;3,118636937;0;;;;
R1061;18-9-2015;09:05;0;3,118636937;0;0;0;0;0;0;0;3,118636937;0;0;0;0;;;;
R1061;21-9-2015;09:05;36,28331969;3,118636937;1,337635304;0;0;0;0;0;11,1107978;5,555398899;1,851799633;12,96259743;7,407198532;1,851799633;;;;
R1061;22-9-2015;09:05;219,5140841;12,47454775;1,337635304;0,39375;0;0;0;0;84,6544944;7,361260383;7,361260383;47,84819249;60,73039816;25,76441134;;;;
R1061;23-9-2015;09:05;205,0007562;24,9490955;1,337635304;0,39375;0;0,136544856;0;0;69,17143492;1,869498241;5,608494723;76,64942788;61,69344195;16,82548417;;;;
R1061;24-9-2015;09:05;337,4348731;12,47454775;9,363447127;0;0;0;0;0;76,59624596;18,23720142;5,471160426;134,9552905;98,48088766;25,53208199;;;;
R1061;25-9-2015;09:05;134,2482828;6,237273875;1,337635304;0;0;0;0;0;16,57673673;14,73487709;3,683719273;22,10231564;60,78136801;23,94417528;;;;
R1061;28-9-2015;09:05;244,9124079;12,47454775;0;0;0;0;0;0;162,9500151;7,406818867;3,703409434;46,29261792;22,2204566;14,81363773;;;;
R1061;29-9-2015;09:05;259,4257358;21,83045856;6,68817652;0;0;0,136544856;0;0;77,56024653;29,54676058;5,540017609;60,9401937;96,0269719;18,46672536;;;;
R1061;30-9-2015;09:05;266,6823997;34,30500631;4,012905912;0;0;0;0;0;47,36029688;17,04970688;5,683235626;70,09323938;64,41000376;100,4038294;;;;
R1063;2-9-2015;09:09;148,7616107;0;0;0;0;0;0;0;43,53998362;10,88499591;5,442497953;43,53998362;34,4691537;10,88499591;;;;
R1063;3-9-2015;09:09;283,0098936;3,118636937;0;0;0;0;0;0;41,91691848;0;0;1,822474716;0;242,3891373;;;;
R1063;7-9-2015;09:09;384,6031887;3,118636937;0;0;0,062863815;0;0;0;30,66204521;10,82189831;3,607299437;77,55693789;81,16423732;183,9722713;;;;
R1063;9-9-2015;09:09;12,69916189;6,237273875;4,012905912;0;0;0;0;0;1,91244514;0;0;3,824890279;13,38711598;3,824890279;;;;
R1063;10-9-2015;09:09;268,4965657;0;2,675270608;0;0;0;0;0;52,42655502;21,6937469;7,231248968;77,7359264;97,62186106;14,46249794;;;;
R1063;11-9-2015;09:09;72,56663937;6,237273875;0;0;0;0;0;0;26,26797108;0;0;0;0;52,53594216;;;;
R1063;14-9-2015;09:09;297,5232214;3,118636937;0;0;0;0;0;0;45,55179672;12,75450308;3,644143738;51,01801233;36,44143738;151,2319651;;;;
R1063;15-9-2015;09:09;214,0715861;12,47454775;0;0;0;0;0;0;57,56500124;12,99854867;1,856935524;79,84822752;53,85113019;20,42629076;;;;
R1063;16-9-2015;09:09;36,28331969;9,355910812;0;0;0;0;0;0;1,984314369;9,921571847;0;5,952943108;19,84314369;7,937257478;;;;
R1063;17-9-2015;09:09;116,106623;12,47454775;6,68817652;0,39375;0;0;0;0;23,83270628;16,49956588;3,666570196;53,16526785;34,83241687;3,666570196;;;;
R1063;18-9-2015;09:09;110,664125;3,118636937;0;0;0;0;0;0;22,02247006;7,340823354;3,670411677;20,18726422;51,38576347;9,176029192;;;;
R1063;21-9-2015;09:09;183,2307644;6,237273875;0;0;0;0;0;0;40,46890138;23,91344173;5,518486552;51,50587449;49,66637897;18,39495517;;;;
R1063;22-9-2015;09:09;0;18,71182162;0;0;0;0;0;0;0;0;0;3,118636937;3,118636937;12,47454775;;;;
R1063;23-9-2015;09:09;0;6,237273875;0;0;0;0;0;0;0;0;0;0;3,118636937;3,118636937;;;;
R1063;24-9-2015;09:09;206,8149222;15,59318469;1,337635304;0;0;0;0;0;48,47824414;20,51002637;9,322739258;67,12372266;65,25917481;13,05183496;;;;
R1063;25-9-2015;09:09;134,2482828;3,118636937;0;0;0;0,136544856;0;0;32,56661004;5,427768341;0;34,37586616;45,23140284;19,90181725;;;;
R1063;29-9-2015;09:09;235,841578;6,237273875;0;0;0;0,136544856;0;0;72,84673585;18,21168396;3,642336792;54,63505188;74,66790424;18,21168396;;;;
R1063;30-9-2015;09:09;219,5140841;21,83045856;0;0;0;0;0;0;33,93907631;30,16806783;0;88,61869926;26,39705935;62,22163991;;;;
R1065;2-9-2015;09:14;270,3107317;6,237273875;0;0;0;0;0;0;14,65154996;3,662887491;1,831443745;20,1458812;31,13454367;205,1216995;;;;
R1065;3-9-2015;09:14;281,1957276;62,37273875;4,012905912;0;0;0;0;0;72,25006052;15,62163471;3,905408677;158,1690514;54,67572147;42,95949544;;;;
R1065;7-9-2015;09:14;250,3549058;3,118636937;0;0;0;0;0;0;49,23586802;14,58840534;12,76485467;71,11847603;89,3539827;16,41195601;;;;
