Trip;Date;Departure;AZU;Heidelberglaan;Padualaan;De Kromme Rijn;Stadion Galgenwaard;Bleekstraat;CS Centrumzijde;AZU;Heidelberglaan;Padualaan;De Kromme Rijn;Stadion Galgenwaard;Bleekstraat;CS Centrumzijde
R1008;28-9-2015;07:14;3,33375;7,975032594;6,487056495;11,46968002;0;0;0;0;0;0;8,361576889;0;0;20,90394222
R1008;29-9-2015;07:14;10,00125;5,981274445;0;34,40904007;0;2,848869496;0;0;0;0;0;4,840039456;4,840039456;43,5603551
R1008;30-9-2015;07:14;3,33375;7,975032594;0;11,46968002;7,322006229;9,971043237;0;0;0;0;0;0;2,504469505;37,56704258
R1010;2-9-2015;07:23;0;3,987516297;12,97411299;11,46968002;0;9,971043237;0;0;0;0;0;6,400392091;0;32,00196046
R1010;3-9-2015;07:23;96,67875;19,93758148;6,487056495;22,93936005;2,440668743;7,122173741;0;0;0;3,241783136;87,52814466;9,725349407;0;55,11031331
R1010;4-9-2015;07:23;3,33375;13,95630704;6,487056495;11,46968002;2,440668743;31,33756446;0;0;0;0;0;2,091667478;2,091667478;64,8416918
R1010;7-9-2015;07:23;6,6675;19,93758148;19,46116949;0;4,881337486;18,51765173;0;0;0;0;2,315508006;6,946524018;11,57754003;48,62566813
R1010;8-9-2015;07:23;3,33375;23,92509778;19,46116949;11,46968002;2,440668743;12,81991273;0;0;0;0;0;8,161142085;5,44076139;59,84837529
R1010;9-9-2015;07:23;6,6675;11,96254889;19,46116949;0;9,762674971;19,94208647;0;0;0;0;0;4,675584815;7,013377223;56,10701778
R1010;10-9-2015;07:23;0;25,91885593;6,487056495;11,46968002;0;7,122173741;0;0;0;0;0;5,099776619;5,099776619;40,79821295
R1010;11-9-2015;07:23;3,33375;11,96254889;12,97411299;0;0;19,94208647;0;0;0;0;0;2,096195581;6,288586742;39,82771603
R1010;15-9-2015;07:23;3,33375;17,94382334;0;22,93936005;0;8,546608489;0;0;0;0;0;0;2,931307882;49,83223399
R1010;16-9-2015;07:23;0;11,96254889;12,97411299;11,46968002;0;11,39547798;0;0;0;0;0;2,811871758;5,623743516;39,36620461
R1010;17-9-2015;07:23;10,00125;15,95006519;6,487056495;34,40904007;4,881337486;19,94208647;0;0;0;0;2,957123733;8,871371198;2,957123733;76,88521705
R1010;18-9-2015;07:23;123,34875;11,96254889;6,487056495;0;0;14,24434748;0;0;0;0;0;0;2,889679683;153,1530232
R1010;21-9-2015;07:23;10,00125;21,93133963;12,97411299;11,46968002;7,322006229;15,66878223;0;0;0;0;2,560231326;2,560231326;7,680693978;66,56601447
R1010;22-9-2015;07:23;6,6675;17,94382334;6,487056495;11,46968002;0;7,122173741;0;0;0;0;0;5,521137066;5,521137066;38,64795946
R1010;23-9-2015;07:23;6,6675;15,95006519;12,97411299;11,46968002;0;8,546608489;0;0;0;0;2,926735089;2,926735089;2,926735089;46,82776142
R1010;24-9-2015;07:23;3,33375;13,95630704;6,487056495;22,93936005;2,440668743;15,66878223;0;0;0;0;2,818518459;2,818518459;0;59,18888764
R1010;25-9-2015;07:23;0;15,95006519;6,487056495;0;0;8,546608489;0;0;0;0;0;0;4,131164023;26,85256615
R1010;28-9-2015;07:23;10,00125;15,95006519;19,46116949;22,93936005;0;8,546608489;0;0;0;0;3,495384237;3,495384237;17,47692118;52,43076355
R1010;29-9-2015;07:23;0;13,95630704;12,97411299;11,46968002;7,322006229;18,51765173;0;0;0;0;0;2,470759923;2,470759923;59,29823816
R1010;30-9-2015;07:23;16,66875;15,95006519;12,97411299;34,40904007;0;11,39547798;0;0;0;0;0;3,515286394;21,09171836;66,79044148
R1012;2-9-2015;07:32;0;27,91261408;6,487056495;11,46968002;2,440668743;11,39547798;0;0;0;0;0;0;4,776439786;54,92905754
R1012;3-9-2015;07:32;36,67125;0;6,487056495;11,46968002;2,440668743;14,24434748;0;0;0;0;0;2,971375114;2,971375114;65,37025251
R1012;4-9-2015;07:32;3,33375;31,90013038;6,487056495;0;7,322006229;11,39547798;0;0;0;0;4,168166971;0;0;56,27025411
R1012;7-9-2015;07:32;10,00125;15,95006519;0;11,46968002;0;17,09321698;0;0;0;0;0;0;6,814276524;47,69993567
R1012;8-9-2015;07:32;0;13,95630704;12,97411299;0;4,881337486;1,424434748;0;0;0;0;0;2,769682689;0;30,46650957
R1012;9-9-2015;07:32;0;15,95006519;6,487056495;0;0;14,24434748;0;0;0;0;0;1,93060364;1,93060364;32,82026188
R1012;10-9-2015;07:32;0;15,95006519;0;0;7,322006229;8,546608489;0;0;0;0;0;0;0;31,81867991
R1012;11-9-2015;07:32;10,00125;21,93133963;12,97411299;0;4,881337486;24,21539072;0;0;0;0;0;6,343151214;2,114383738;65,54589588
R1012;14-9-2015;07:32;66,675;0;6,487056495;45,87872009;2,440668743;19,94208647;0;0;0;0;3,535588295;17,67794148;14,14235318;106,0676489
R1012;15-9-2015;07:32;10,00125;21,93133963;12,97411299;0;4,881337486;15,66878223;0;0;0;0;0;9,028527219;2,257131805;54,17116331
R1012;16-9-2015;07:32;13,335;21,93133963;6,487056495;34,40904007;4,881337486;7,122173741;0;0;0;0;0;10,17299393;13,56399191;64,42896158
R1012;17-9-2015;07:32;3,33375;21,93133963;0;11,46968002;0;9,971043237;0;0;0;0;2,335290645;2,335290645;0;42,0352316
R1012;18-9-2015;07:32;33,3375;17,94382334;0;0;2,440668743;9,971043237;0;0;0;0;14,15400785;4,718002616;0;44,82102485
R1012;21-9-2015;07:32;3,33375;11,96254889;6,487056495;11,46968002;4,881337486;25,63982547;0;0;0;0;0;2,199110288;4,398220577;57,1768675
R1012;22-9-2015;07:32;3,33375;15,95006519;19,46116949;0;2,440668743;7,122173741;0;0;0;0;0;2,683768175;5,367536351;40,25652263
R1012;23-9-2015;07:32;10,00125;9,968790742;6,487056495;11,46968002;4,881337486;11,39547798;0;0;0;0;0;5,420359273;5,420359273;43,36287419
R1012;24-9-2015;07:32;10,00125;11,96254889;12,97411299;11,46968002;4,881337486;18,51765173;0;0;0;0;5,17085786;2,58542893;2,58542893;59,46486539
R1012;25-9-2015;07:32;6,6675;5,981274445;19,46116949;11,46968002;2,440668743;24,21539072;0;0;0;0;2,601321608;5,202643216;5,202643216;57,22907538
R1012;29-9-2015;07:32;13,335;17,94382334;6,487056495;11,46968002;0;7,122173741;0;0;0;0;2,81788668;5,63577336;8,453660039;39,45041352
R1012;30-9-2015;07:32;33,3375;9,968790742;12,97411299;0;9,762674971;14,24434748;0;0;0;0;2,589916974;10,35966789;0;67,33784132
R1014;2-9-2015;07:39;0;13,95630704;0;11,46968002;0;4,273304244;0;0;0;0;0;0;0;29,69929131
R1014;3-9-2015;07:39;13,335;11,96254889;0;11,46968002;14,64401246;14,24434748;0;0;0;0;0;0;7,295065428;58,36052342
R1014;4-9-2015;07:39;30,00375;13,95630704;6,487056495;22,93936005;4,881337486;17,09321698;0;0;0;0;2,889728123;5,779456245;23,11782498;63,5740187
R1014;7-9-2015;07:39;40,005;0;0;103,2271202;0;0;0;0;0;0;81,84692584;0;0;61,38519438
R1014;8-9-2015;07:39;30,00375;5,981274445;0;11,46968002;0;7,122173741;0;0;0;0;3,032048789;3,032048789;21,22434153;27,2884391
R1014;9-9-2015;07:39;6,6675;9,968790742;0;22,93936005;4,881337486;17,09321698;0;0;0;0;0;0;13,3804794;48,16972585
R1014;10-9-2015;07:39;23,33625;11,96254889;6,487056495;11,46968002;0;29,91312971;0;0;0;0;2,310240698;9,240962791;4,620481396;66,99698024
R1014;11-9-2015;07:39;10,00125;3,987516297;0;0;0;0;0;0;0;0;0;2,797753259;5,595506519;5,595506519
R1014;14-9-2015;07:39;13,335;5,981274445;0;22,93936005;9,762674971;24,21539072;0;0;0;0;2,541123339;2,541123339;10,16449336;60,98696015
R1014;15-9-2015;07:39;16,66875;3,987516297;0;11,46968002;4,881337486;9,971043237;0;0;0;0;2,763431003;0;11,05372401;33,16117203
R1014;16-9-2015;07:39;6,6675;5,981274445;0;0;9,762674971;11,39547798;0;0;0;0;0;0;3,977285577;29,82964183
R1014;17-9-2015;07:39;30,00375;0;0;0;4,881337486;24,21539072;0;0;0;0;0;6,332194093;10,55365682;42,21462729
R1014;18-9-2015;07:39;106,68;17,94382334;0;22,93936005;2,440668743;17,09321698;0;0;0;5,967752468;65,64527715;2,983876234;20,88713364;71,61302962
R1014;21-9-2015;07:39;20,0025;7,975032594;0;22,93936005;9,762674971;24,21539072;0;0;0;0;2,572574495;5,14514899;7,717723485;69,45951136
R1014;22-9-2015;07:39;23,33625;9,968790742;0;0;4,881337486;2,848869496;0;0;0;0;2,564702983;2,564702983;12,82351491;23,08232684
R1014;23-9-2015;07:39;16,66875;3,987516297;0;11,46968002;4,881337486;15,66878223;0;0;0;0;0;2,508384097;7,525152291;42,64252965
R1014;24-9-2015;07:39;63,34125;19,93758148;0;0;7,322006229;4,273304244;0;0;0;0;5,42137954;5,42137954;35,23896701;48,79241586
R1014;25-9-2015;07:39;6,6675;9,968790742;6,487056495;22,93936005;0;8,546608489;0;0;0;0;0;0;6,826164472;47,7831513
R1014;28-9-2015;07:39;0;3,987516297;6,487056495;0;2,440668743;11,39547798;0;0;0;0;0;2,025893293;4,051786587;18,23303964
R1014;29-9-2015;07:39;10,00125;11,96254889;0;0;2,440668743;21,36652122;0;0;0;0;1,830839554;1,830839554;1,830839554;40,27847019
R1014;30-9-2015;07:39;3,33375;9,968790742;0;0;4,881337486;0;0;0;0;0;0;0;2,272984779;15,91089345
R1016;2-9-2015;07:49;26,67;11,96254889;12,97411299;11,46968002;2,440668743;9,971043237;0;0;0;0;9,058566466;12,07808862;15,09761078;39,25378802
R1016;3-9-2015;07:49;20,0025;13,95630704;6,487056495;0;2,440668743;18,51765173;0;0;0;0;6,579019715;4,386013143;6,579019715;43,86013143
R1016;4-9-2015;07:49;6,6675;7,975032594;12,97411299;0;0;5,697738992;0;0;0;0;2,776198715;0;8,328596144;22,20958972
R1016;7-9-2015;07:49;13,335;3,987516297;0;0;0;4,273304244;0;0;0;0;4,799071231;2,399535616;4,799071231;9,598142463
R1016;8-9-2015;07:49;20,0025;19,93758148;6,487056495;22,93936005;2,440668743;22,79095597;0;0;0;0;5,255451263;0;18,39407942;70,94859205
R1016;9-9-2015;07:49;33,3375;17,94382334;19,46116949;11,46968002;12,20334371;14,24434748;0;0;0;0;11,43788043;5,718940213;25,73523096;65,76781245
R1016;10-9-2015;07:49;40,005;19,93758148;6,487056495;11,46968002;9,762674971;8,546608489;0;0;0;0;5,659329498;5,659329498;31,12631224;53,76363023
R1016;11-9-2015;07:49;23,33625;11,96254889;6,487056495;22,93936005;0;9,971043237;0;0;0;0;3,24766342;0;25,98130736;45,46728789
R1016;14-9-2015;07:49;30,00375;5,981274445;0;11,46968002;7,322006229;24,21539072;0;0;0;0;4,787400086;0;11,96850021;62,23620112
R1016;15-9-2015;07:49;30,00375;13,95630704;12,97411299;11,46968002;4,881337486;5,697738992;0;0;0;0;9,477951184;6,318634122;15,79658531;47,38975592
R1016;16-9-2015;07:49;36,67125;13,95630704;19,46116949;0;9,762674971;25,63982547;0;0;0;0;9,813137392;7,359853044;29,43941218;58,87882435
R1016;17-9-2015;07:49;30,00375;11,96254889;0;11,46968002;0;8,546608489;0;0;0;0;2,817390337;0;19,72173236;39,44346471
R1016;18-9-2015;07:49;13,335;3,987516297;12,97411299;0;0;7,122173741;0;0;0;0;0;0;5,756738927;31,6620641
R1016;21-9-2015;07:49;56,67375;0;0;22,93936005;7,322006229;18,51765173;0;0;0;0;9,038808686;0;18,07761737;78,33634194
R1016;22-9-2015;07:49;10,00125;7,975032594;6,487056495;34,40904007;2,440668743;5,697738992;0;0;0;0;8,376348362;8,376348362;4,188174181;46,06991599
R1016;23-9-2015;07:49;40,005;13,95630704;0;22,93936005;0;7,122173741;0;0;0;0;6,463295448;6,463295448;25,85318179;45,24306814
R1016;24-9-2015;07:49;10,00125;9,968790742;0;0;4,881337486;27,06426021;0;0;0;0;0;0;5,370583287;46,54505516
